type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
small_airport,Babanakira Airport,-9.7475004196167,159.83900451660156,OC,SB,SB-GU,MBU
small_airport,Avu Avu Airport,-9.86833333333,160.410555556,OC,SB,SB-GU,AVU
small_airport,Ngorangora Airport,-10.4497003555,161.897994995,OC,SB,SB-MK,IRA
small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972076416,165.7949981689453,OC,SB,SB-TE,SCZ
medium_airport,Munda Airport,-8.327969551086426,157.26300048828125,OC,SB,SB-WE,MUA
small_airport,Nusatupe Airport,-8.09778022766,156.863998413,OC,SB,SB-WE,GZO
small_airport,Mono Airport,-7.416940212249756,155.56500244140625,OC,SB,SB-WE,MNY
small_airport,Parasi Airport,-9.64167022705078,161.4250030517578,OC,SB,SB-ML,PRS
small_airport,Rennell/Tingoa Airport,-11.533900260925293,160.06300354003906,OC,SB,SB-RB,RNL
small_airport,Sege Airport,-8.578889846801758,157.87600708007812,OC,SB,SB-WE,EGM
small_airport,Santa Ana Airport,-10.847994,162.45410800000002,OC,SB,SB-MK,NNB
small_airport,Marau Airport,-9.86166954041,160.824996948,OC,SB,SB-GU,RUS
small_airport,Suavanao Airport,-7.585559844970702,158.7310028076172,OC,SB,SB-IS,VAO
small_airport,Yandina Airport,-9.092816000000001,159.21841,OC,SB,SB-CE,XYA
small_airport,Kagua Airport,-6.396388888890001,143.853611111,OC,PG,PG-SHM,AGK
small_airport,Kaghau Airport,-7.3305,157.585,OC,SB,SB-CH,KGE
small_airport,Kukudu Airport,-8.0262,156.94783,OC,SB,SB-WE,KUE
small_airport,Kwailabesi Airport,-8.360508,160.775127,OC,SB,SB-ML,KWS
small_airport,Wanigela Airport,-9.3375,149.155555556,OC,PG,PG-NPP,AGL
small_airport,Nana Airport,-10.6758,162.2049,OC,SB,SB-MK,NAZ
small_airport,Ringi Cove Airport,-8.12639045715332,157.14300537109375,OC,SB,SB-WE,RIN
small_airport,Ramata Airport,-8.168060302734375,157.64300537109375,OC,SB,SB-WE,RBV
heliport,Tulaghi Heliport,-9.107999999999999,160.149166667,OC,SB,SB-CE,TLG
small_airport,Argyle Downs Airport,-16.514,128.9245,OC,AU,AU-WA,AGY
medium_airport,Hongyuan Airport,32.53154,102.35224000000001,AS,CN,CN-51,AHJ
small_airport,Ambatolhy Airport,-20.015833333299998,45.535,AF,MG,MG-U,AHY
small_airport,Aiome Airport,-5.145699978000001,144.7307003,OC,PG,PG-MPM,AIE
small_airport,Aiambak Airport,-7.3427777777799985,141.2675,OC,PG,PG-WPD,AIH
small_airport,Ailinglaplap Airport,7.279421591760001,168.825699985,OC,MH,MH-ALL,AIP
small_airport,Chena Hot Springs Airport,65.0518035889,-146.04699707,,US,US-AK,CEX
small_airport,Solomon State Field,64.5605,-164.4457,,US,US-AK,SOL
