type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
seaplane_base,Waterfall Seaplane Base,55.29629898,-133.2429962,,US,US-AK,KWF
small_airport,Whiteman Airport,34.25930023,-118.413002,,US,US-CA,WHP
medium_airport,General WM J Fox Airfield,34.74110031,-118.2190018,,US,US-CA,WJF
seaplane_base,Kwigillingok Seaplane Base,59.83670044,-163.1399994,,US,US-AK,KWK
small_airport,Strother Field,37.16859818,-97.03759766,,US,US-KS,WLD
small_airport,Willows Glenn County Airport,39.51639938,-122.2180023,,US,US-CA,WLW
medium_airport,Winnemucca Municipal Airport,40.89659882,-117.8059998,,US,US-NV,WMC
seaplane_base,West Point Village Seaplane Base,57.77009964,-153.548996,,US,US-AK,KWP
large_airport,Robins Air Force Base,32.64009857,-83.59190369,,US,US-GA,WRB
medium_airport,Mc Guire Air Force Base,40.0155983,-74.59169769,,US,US-NJ,WRI
medium_airport,Worland Municipal Airport,43.96569824,-107.9509964,,US,US-WY,WRL
small_airport,Condron Army Air Field,32.34149933,-106.4029999,,US,US-NM,WSD
small_airport,Westerly State Airport,41.34960175,-71.80339813,,US,US-RI,WST
small_airport,Watsonville Municipal Airport,36.93569946,-121.7900009,,US,US-CA,WVI
small_airport,Waterville Robert Lafleur Airport,44.53319931,-69.67549896,,US,US-ME,WVL
medium_airport,Cape May County Airport,39.00849915,-74.90830231,,US,US-NJ,WWD
medium_airport,West Woodward Airport,36.438,-99.5226667,,US,US-OK,WWR
medium_airport,Kiwayu Airport,-1.960559964,41.29750061,AF,KE,KE-300,KWY
medium_airport,Yellowstone Airport,44.68840027,-111.1179962,,US,US-MT,WYS
small_airport,Tampa North Aero Park Airport,28.22130013,-82.37449646,,US,US-FL,KYO
seaplane_base,Kasaan Seaplane Base,55.53739929,-132.397995,,US,US-AK,KXA
medium_airport,Northwest Arkansas Regional Airport,36.2818985,-94.30680084,,US,US-AR,XNA
medium_airport,Willow Run Airport,42.23789978,-83.53040314,,US,US-MI,YIP
medium_airport,Yakima Air Terminal McAllister Field,46.56819916,-120.5439987,,US,US-WA,YKM
medium_airport,Youngstown Warren Regional Airport,41.26070023,-80.67910004,,US,US-OH,YNG
medium_airport,Dzhezkazgan Airport,47.77080154,67.67340088,AS,KZ,KZ-KAR,DZN
medium_airport,Taldykorgan Airport,45.12620163,78.4469986,AS,KZ,KZ-ALM,TDK
small_airport,Atbasar Airport,51.85169983,68.36329651,AS,KZ,KZ-AKM,ATX
seaplane_base,Zachar Bay Seaplane Base,57.553001,-153.746052,,US,US-AK,KZB
small_airport,Kaintiba Airport,-7.50025,146.0338333,OC,PG,PG-GPK,KZF
small_airport,Zephyrhills Municipal Airport,28.22820091,-82.15589905,,US,US-FL,ZPH
medium_airport,Zafer Airport,39.11220062,30.13003993,AS,TR,TR-43,KZR
medium_airport,Zanesville Municipal Airport,39.94440079,-81.89209747,,US,US-OH,ZZV
seaplane_base,Pebbly Beach Seaplane Base,33.33840179,-118.3119965,,US,US-CA,AVX
small_airport,Layang-Layang Airport,7.37157011,113.8440018,AS,MY,MY-12,LAC
large_airport,Tirana International Airport Mother Teresa,41.41469955,19.72060013,EU,AL,AL-TR,TIA
large_airport,Burgas Airport,42.56959915,27.51519966,EU,BG,BG-02,BOJ
medium_airport,Gorna Oryahovitsa Airport,43.15140152,25.71290016,EU,BG,BG-04,GOZ
seaplane_base,Palm Beach Seaplane Base,-33.5871,151.3234,OC,AU,AU-VIC,LBH
small_airport,Luabo Airport,-18.4139,36.1068,AF,MZ,MZ-Q,LBM
large_airport,Plovdiv International Airport,42.06779861,24.85079956,EU,BG,BG-16,PDV
medium_airport,Dolna Mitropoliya Air Base,43.45140076,24.50279999,EU,BG,BG-15,PVN
large_airport,Sofia Airport,42.69669342,23.41143608,EU,BG,BG-23,SOF
small_airport,Silistra Polkovnik Lambrinovo Airfield,44.05519867,27.17880058,EU,BG,BG-19,SLS
small_airport,Stara Zagora Airport,42.37670136,25.65519905,EU,BG,BG-24,SZR
small_airport,Bukhovtsi Airfield,43.30659866,26.70089912,EU,BG,BG-25,TGV
small_airport,Vidin Smurdan Airfield,44.0223999,22.81609917,EU,BG,BG-05,VID
large_airport,Varna Airport,43.23210144,27.82509995,EU,BG,BG-03,VAR
medium_airport,Ercan International Airport,35.15470123,33.49610138,AS,CY,CY-02,ECN
large_airport,Larnaca International Airport,34.87509918,33.62490082,AS,CY,CY-04,LCA
small_airport,Loncopue Airport,-38.08190155,-70.64389801,SA,AR,AR-Q,LCP
large_airport,Paphos International Airport,34.7179985,32.4856987,AS,CY,CY-06,PFO
medium_airport,RAF Akrotiri,34.5904007,32.98789978,AS,CY,CY-05,AKT
medium_airport,Dubrovnik Airport,42.56140137,18.26819992,EU,HR,HR-19,DBV
small_airport,Lošinj Island Airport,44.56579971,14.39309978,EU,HR,HR-08,LSZ
medium_airport,Osijek Airport,45.46269989,18.81019974,EU,HR,HR-14,OSI
medium_airport,Pula Airport,44.89350128,13.9222002,EU,HR,HR-18,PUY
medium_airport,Rijeka Airport,45.21689987,14.5703001,EU,HR,HR-08,RJK
medium_airport,Bol Airport,43.28570175,16.67970085,EU,HR,HR-17,BWK
medium_airport,Split Airport,43.53889847,16.29800034,EU,HR,HR-17,SPU
small_airport,Lansdowne Airport,-17.6128,126.743,OC,AU,AU-WA,LDW
large_airport,Zagreb Airport,45.74290085,16.06879997,EU,HR,HR-21,ZAG
medium_airport,Zemunik Airport,44.10829926,15.34669971,EU,HR,HR-13,ZAD
medium_airport,Albacete-Los Llanos Airport,38.94850159,-1.863520026,EU,ES,ES-CM,ABC
large_airport,Alicante International Airport,38.28219986,-0.5581560135,EU,ES,ES-V,ALC
medium_airport,Almería International Airport,36.84389877,-2.370100021,EU,ES,ES-AN,LEI
medium_airport,Asturias Airport,43.56359863,-6.034619808,EU,ES,ES-O,OVD
medium_airport,Córdoba Airport,37.84199905,-4.848879814,EU,ES,ES-AN,ODB
medium_airport,Bilbao Airport,43.30110168,-2.910609961,EU,ES,ES-PV,BIO
medium_airport,Burgos Airport,42.35760117,-3.620759964,EU,ES,ES-CL,RGS
large_airport,Barcelona International Airport,41.29710007,2.078459978,EU,ES,ES-CT,BCN
medium_airport,Badajoz Airport,38.8913002,-6.82133007,EU,ES,ES-EX,BJZ
medium_airport,A Coruña Airport,43.30210114,-8.377260208,EU,ES,ES-GA,LCG
medium_airport,Cuatro Vientos Airport,40.37070084,-3.785140038,EU,ES,ES-M,ECV
medium_airport,Lleida-Alguaire Airport,41.728185,0.535023,EU,ES,ES-CT,ILD
medium_airport,Castellón-Costa Azahar Airport,40.21388889,0.07333333333,EU,ES,ES-CS,CDT
medium_airport,Girona Airport,41.90100098,2.760550022,EU,ES,ES-CT,GRO
medium_airport,Federico Garcia Lorca Airport,37.18870163,-3.777359962,EU,ES,ES-AN,GRX
small_airport,Huesca/Pirineos Airport,42.0760994,-0.3166669905,EU,ES,ES-AR,HSK
medium_airport,Ibiza Airport,38.8728981,1.37311995,EU,ES,ES-PM,IBZ
medium_airport,Jerez Airport,36.74459839,-6.060110092,EU,ES,ES-AN,XRY
medium_airport,San Javier Airport,37.77500153,-0.8123890162,EU,ES,ES-MU,MJV
small_airport,Sabadell Airport,41.52090073,2.105079889,EU,ES,ES-CT,QSA
medium_airport,Leon Airport,42.5890007,-5.655560017,EU,ES,ES-CL,LEN
small_airport,Logroño-Agoncillo Airport,42.46095349,-2.322235107,EU,ES,ES-LO,RJL
large_airport,Adolfo Suárez Madrid–Barajas Airport,40.4936,-3.56676,EU,ES,ES-M,MAD
small_airport,Mafé - Gibraleón Airport,37.36429977,-6.920939922,EU,ES,ES-AN,HEV
large_airport,Málaga Airport,36.67490005,-4.499110222,EU,ES,ES-AN,AGP
medium_airport,Menorca Airport,39.86259842,4.218649864,EU,ES,ES-PM,MAH
medium_airport,Moron Air Base,37.17490005,-5.615940094,EU,ES,ES-AN,OZP
